2026-01-16 02:00:00.266 [scheduling-1] INFO  - ========== 开始执行定时任务：更新购卡记录状态 ==========
2026-01-16 02:00:00.466 [scheduling-1] INFO  - 找到 1 条已支付的订单
2026-01-16 02:00:00.483 [scheduling-1] INFO  - ========== 定时任务完成 ==========
2026-01-16 02:00:00.484 [scheduling-1] INFO  - 总订单数: 1
2026-01-16 02:00:00.484 [scheduling-1] INFO  - 更新数量: 0
2026-01-16 02:00:00.484 [scheduling-1] INFO  - 跳过数量: 0
2026-01-16 02:00:00.484 [scheduling-1] INFO  - 错误数量: 0
2026-01-16 02:00:00.484 [scheduling-1] INFO  - 执行耗时: 167 毫秒
2026-01-16 02:00:00.484 [scheduling-1] INFO  - =====================================
2026-01-16 23:55:00.041 [scheduling-1] INFO  - ========== 开始执行定时任务：检查未到店订单 ==========
2026-01-16 23:55:00.069 [scheduling-1] INFO  - 找到 1 条待核销的订单
2026-01-16 23:55:00.070 [scheduling-1] INFO  - ========== 定时任务完成 ==========
2026-01-16 23:55:00.070 [scheduling-1] INFO  - 总订单数: 1
2026-01-16 23:55:00.070 [scheduling-1] INFO  - 更新数量: 0
2026-01-16 23:55:00.070 [scheduling-1] INFO  - 跳过数量: 0
2026-01-16 23:55:00.070 [scheduling-1] INFO  - 错误数量: 0
2026-01-16 23:55:00.070 [scheduling-1] INFO  - 执行耗时: 27 毫秒
2026-01-16 23:55:00.070 [scheduling-1] INFO  - =====================================
